startup,industry,season,ask_amount,equity_offered,sentiment_label,sentiment_score,investment_score,risk_level,verdict,actual_deal,predicted_deal
Wondercide,Pet Products,7,500000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Rumpl,Lifestyle/Home,12,600000.0,4.0,Neutral,0,61.0,Medium-Low,Consider,0,1
popSLATE,Technology/Software,7,500000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,0,1
WalkeePaws,Pet Products,12,150000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,0,1
NanaHats,Food and Beverage,14,150000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
MyColdSnap,Food and Beverage,4,50000.0,100.0,Neutral,0,58.0,Medium-Low,Conditional,0,1
HamptonAdams,Fitness/Sports/Outdoors,13,500000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,0,1
ScreenMend,Lifestyle/Home,5,30000.0,25.0,Neutral,0,61.0,Medium-Low,Consider,1,1
PiliHunters,Food and Beverage,11,325000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,0,1
BoostOxygen,Health/Wellness,11,1000000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,1,1
WalletBuckle,Fashion/Beauty,8,500000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,0,1
Baobab,Fashion/Beauty,11,150000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,0,1
Wondry,Food and Beverage,14,185000.0,8.0,Neutral,0,65.0,Medium-Low,Consider,1,1
TheBobblePlace,Children/Education,1,75000.0,18.0,Neutral,0,65.0,Medium-Low,Consider,0,1
Nubrella,Fashion/Beauty,1,200000.0,25.0,Neutral,0,61.0,Medium-Low,Consider,1,1
GranolaGourmet,Food and Beverage,1,175000.0,25.0,Neutral,0,61.0,Medium-Low,Consider,0,1
TheMightyCarver,Lifestyle/Home,12,100000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,1,1
DollopGourmet,Food and Beverage,7,75000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,1,1
SnoofyBee,Children/Education,9,85000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
PepperPong,Fitness/Sports/Outdoors,16,150000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Makers Social,Media/Entertainment,17,150000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
BouquetBar,Lifestyle/Home,9,150000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
PinchMeTherapyDough,Health/Wellness,12,300000.0,7.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Flightpath Golf,Fitness/Sports/Outdoors,17,150000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,0,1
TheOriginalComfy,Fashion/Beauty,9,50000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Ooakshell,Fashion/Beauty,13,150000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
YoungKingHairCare,Fashion/Beauty,13,225000.0,2.5,Neutral,0,61.0,Medium-Low,Consider,0,1
HowDoYouRoll?,Food and Beverage,4,1000000.0,12.0,Neutral,0,65.0,Medium-Low,Consider,1,1
ChangEd,Children/Education,9,250000.0,15.0,Neutral,0,65.0,Medium-Low,Consider,1,1
"Ready,Set,Food!",Children/Education,11,350000.0,7.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Pinblock,Children/Education,8,100000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Poplight,Lifestyle/Home,15,150000.0,8.0,Neutral,0,65.0,Medium-Low,Consider,1,1
IceShaker,Fitness/Sports/Outdoors,9,100000.0,15.0,Neutral,0,65.0,Medium-Low,Consider,1,1
